Rank,Video Name,Worldwide,we8,viewcount,ve8
1,Barbie,1441820453,14.41820453,79922625,0.79922625
2,The Super Mario Bros. Movie,1361367353,13.61367353,30401495,0.30401495
3,Oppenheimer,952021870,9.5202187,113097125,1.13097125
4,Guardians of the Galaxy Vol. 3,845555777,8.45555777,53060721,0.53060721
5,Fast X,704875015,7.04875015,85735892,0.85735892
6,Spider-Man: Across the Spider-Verse,690516673,6.90516673,87438940,0.8743894
7,The Little Mermaid,569626289,5.69626289,26057586,0.26057586
8,Mission: Impossible - Dead Reckoning Part One,567535383,5.67535383,34839569,0.34839569
9,Elemental,496307013,4.96307013,46568237,0.46568237
10,Ant-Man and the Wasp: Quantumania,476071180,4.7607118,59840782,0.59840782
11,John Wick: Chapter 4,440146694,4.40146694,80734205,0.80734205
12,Transformers: Rise of the Beasts,438966392,4.38966392,44315621,0.44315621
13,Meg 2: The Trench,395000317,3.95000317,46942856,0.46942856
14,Indiana Jones and the Dial of Destiny,383963057,3.83963057,16408874,0.16408874
15,The Hunger Games: The Ballad of Songbirds & Snakes,315337500,3.153375,52480356,0.52480356
16,Five Nights at Freddy's,290501123,2.90501123,64226929,0.64226929
17,Creed III,275248615,2.75248615,37679312,0.37679312
18,Wonka,272053000,2.72053,12626941,0.12626941
19,The Flash,270633313,2.70633313,53147143,0.53147143
20,The Nun II,268067073,2.68067073,41725608,0.41725608