Rank,VideoName,Worldwide,Domestic,Outside US,viewcount
1,Barbie,1441820453,636220453,805600000,79922625
2,The Super Mario Bros. Movie,1361367353,574934330,786433023,30401495
3,Oppenheimer,952021870,326087870,625934000,113097125
4,Guardians of the Galaxy Vol. 3,845555777,358995815,486559962,53060721
5,Fast X,704875015,146126015,558749000,85735892
6,Spider-Man: Across the Spider-Verse,690516673,381311319,309205354,87438940
7,The Little Mermaid,569626289,298172056,271454233,26057586
8,Mission: Impossible - Dead Reckoning Part One,567535383,172135383,395400000,34839569
9,Elemental,496307013,154426697,341880316,46568237
10,Ant-Man and the Wasp: Quantumania,476071180,214504909,261566271,59840782
11,John Wick: Chapter 4,440146694,187131806,253014888,80734205
12,Transformers: Rise of the Beasts,438966392,157066392,281900000,44315621
13,Meg 2: The Trench,395000317,82600317,312400000,46942856
14,Indiana Jones and the Dial of Destiny,383963057,174480468,209482589,16408874
15,The Hunger Games: The Ballad of Songbirds & Snakes,315337500,153337500,162000000,52480356
16,Five Nights at Freddy's,290501123,137275620,153225503,64226929
17,Creed III,275248615,156248615,119000000,37679312
18,Wonka,272053000,94453000,177600000,12626941
19,The Flash,270633313,108133313,162500000,53147143
20,The Nun II,268067073,86267073,181800000,41725608